1660595465,"[0.00830078125, 0.06005859375, 1.09814453125]","[2.84576416015625, 5.48553466796875, 3.875732421875]","[-94, 376, -1040]"
1660595466,"[0.02197265625, 0.04052734375, 1.101318359375]","[2.685546875, 6.7901611328125, 3.13568115234375]","[-97, 384, -1041]"
1660595466,"[0.005615234375, 0.01025390625, 1.095947265625]","[2.6092529296875, 5.68389892578125, 6.23321533203125]","[-89, 381, -1049]"
1660595466,"[-0.005126953125, 0.0146484375, 1.09423828125]","[2.25830078125, 6.91986083984375, 3.2501220703125]","[-55, 347, -1010]"
1660595467,"[-0.040771484375, 0.050537109375, 1.08837890625]","[3.6468505859375, 5.2642822265625, 5.157470703125]","[-95, 387, -1036]"
1660595467,"[0.002685546875, 0.076416015625, 1.09716796875]","[2.0294189453125, 6.500244140625, 4.69970703125]","[-95, 375, -1041]"
1660595468,"[-0.0087890625, 0.04248046875, 1.115966796875]","[4.15802001953125, 6.561279296875, 3.95965576171875]","[-85, 389, -1041]"
1660595468,"[0.021240234375, 0.0771484375, 1.098388671875]","[2.50244140625, 4.4708251953125, 3.72314453125]","[-85, 380, -1046]"
1660595469,"[-0.001708984375, 0.055908203125, 1.130859375]","[2.960205078125, 5.43212890625, 6.3018798828125]","[-87, 381, -1033]"
1660595469,"[0.031494140625, 0.0888671875, 1.111572265625]","[3.89862060546875, 5.97381591796875, 3.10516357421875]","[-61, 356, -1002]"
1660595470,"[-0.0244140625, 0.050537109375, 1.119140625]","[3.6468505859375, 5.50079345703125, 5.13458251953125]","[-84, 393, -1045]"
1660595470,"[-0.00146484375, 0.093505859375, 1.101806640625]","[2.55584716796875, 5.67626953125, 5.6915283203125]","[-88, 380, -1041]"
1660595470,"[-0.072998046875, 0.055908203125, 1.1015625]","[1.96075439453125, 4.72259521484375, 3.59344482421875]","[-89, 378, -1042]"
1660595471,"[0.02001953125, 0.040283203125, 1.07080078125]","[3.2196044921875, 6.16455078125, 6.11114501953125]","[-101, 378, -1035]"
1660595471,"[-0.002197265625, 0.018798828125, 1.12451171875]","[2.593994140625, 6.3323974609375, 4.23431396484375]","[-94, 390, -1040]"
